,Date,User,Tweet,num_of_likes,num_of_retweet,CleanTweet,Subjectivity,Polarity,Score
1083,2022-07-13 08:50:10+00:00,Aylaazari,@BOLMOJOLA Pls what book?,0,0,pls what book,0.0,0.0,Neutral
1084,2022-07-12 21:49:31+00:00,Aylaazari,@AfricanPolymath 🤣 all power belongs to bum bum,2,0,all power belongs bum bum,0.0,0.0,Neutral
1085,2022-07-11 07:39:03+00:00,Aylaazari,Yes https://t.co/dRTpECMHkQ,1,0,yes,0.0,0.0,Neutral
1086,2022-07-11 07:37:04+00:00,Aylaazari,@chymaker @onyilacreme Just delete and repost.,0,0,just delete repost,0.0,0.0,Neutral
1087,2022-07-11 07:07:55+00:00,Aylaazari,"@UcheNebed WHat does this mean tho, the kids that showed restraint and told their parents no? Is that intelligence, or discipline at such a young age. If I were the one I’d cry 😂",0,0,what does this mean tho kids that showed restraint told their parents no is that intelligence or discipline at such young age if i were one i d cry,0.5291666666666667,-0.07083333333333333,Negative
1088,2022-07-11 02:38:58+00:00,Aylaazari,@cKamui43 I’m sorry but are big mama and kaido a joke to you?,0,0,i m sorry but are big mama kaido joke you,0.55,-0.25,Negative
1089,2022-07-10 21:04:23+00:00,Aylaazari,The OST was perfect https://t.co/1lAUhv2FeK,0,0,ost was perfect,1.0,1.0,Positive
1090,2022-07-10 20:34:49+00:00,Aylaazari,@Cappppp15 Deidara ode,0,0,deidara ode,0.0,0.0,Neutral
1091,2022-07-10 20:33:48+00:00,Aylaazari,@Thegrey8 I’m screaming 😂,1,0,i m screaming,0.0,0.0,Neutral
1092,2022-07-10 17:39:42+00:00,Aylaazari,"@namedToobi Yeah, but it would be best to complete with other anti malarials.",0,0,yeah but it would be best complete with other anti malarials,0.35833333333333334,0.325,Positive
1093,2022-07-10 15:03:31+00:00,Aylaazari,@___Debonair Must be a Yoruba boy *sneers away,0,0,must be yoruba boy sneers away,0.0,0.0,Neutral
1094,2022-07-10 12:18:03+00:00,Aylaazari,@namedToobi Mostly a prophylaxis against Malaria. So you can take it before you get Malaria. Stays in the liver until the parasites gets into your system. Still works as an active medication but its a mostly used as prophylaxis.,3,0,mostly prophylaxis against malaria so you can take it before you get malaria stays liver until parasites gets into your system still works as active medication but its mostly used as prophylaxis,0.5333333333333333,0.2888888888888889,Positive
1095,2022-07-10 07:55:34+00:00,Aylaazari,@saefhenry @luvdatlacefront Osinor ozuo 😂,0,0,osinor ozuo,0.0,0.0,Neutral
1096,2022-07-09 22:25:49+00:00,Aylaazari,@Ruleyourmind101 Gentility oshe stupidity…..,0,0,gentility oshe stupidity,0.0,0.0,Neutral
1097,2022-07-09 22:25:13+00:00,Aylaazari,"@firstladyship I’m sorry but none of this would matter if the right to life is threatened. His views on homosexuality is concerning. What if he believes women should sit at home or anyone who says anything against Mohammed should be stoned. 

Is that when it’s your business?",1,0,i m sorry but none this would matter if right life is threatened his views homosexuality is concerning what if he believes women should sit at home or anyone who says anything against mohammed should be stoned is that when it s your business,0.7678571428571428,-0.10714285714285715,Negative
1098,2022-07-09 19:51:19+00:00,Aylaazari,@cooldamxbone Omo plus their shows had good choreography and music. Them days,0,0,omo plus their shows had good choreography music them days,0.6000000000000001,0.7,Positive
1099,2022-07-09 19:47:38+00:00,Aylaazari,"@cooldamxbone Psquare used to relsease bomb songs those days Ahn ahn. Their videos too, very unique",0,0,psquare used relsease bomb songs those days ahn ahn their videos too very unique,1.0,0.48750000000000004,Positive
1100,2022-07-09 18:58:58+00:00,Aylaazari,@bromike_speaks Sex should be normalized,5,0,sex should be normalized,0.0,0.0,Neutral
1101,2022-07-09 17:35:38+00:00,Aylaazari,@FS_Yusuf_ Like Vampire vibes bah? 😂,0,0,like vampire vibes bah,0.0,0.0,Neutral
1102,2022-07-09 17:35:10+00:00,Aylaazari,@Oluwadaminoni Amen,1,0,amen,0.0,0.0,Neutral
1103,2022-07-09 17:32:46+00:00,Aylaazari,@realFejiro At this rate I fear he’d never receive one. Very sad,1,0,at this rate i fear he d never receive one very sad,1.0,-0.65,Negative
1105,2022-07-09 13:18:18+00:00,Aylaazari,@NaijaFlyingDr Omo you gats to be secured 😂,0,0,omo you gats be secured,0.0,0.0,Neutral
1106,2022-07-09 12:14:41+00:00,Aylaazari,@Thegrey8 God Bless Atheists.,2,0,god bless atheists,0.0,0.0,Neutral
1107,2022-07-09 12:13:11+00:00,Aylaazari,@itsaykay @tflourish @AbdulMahmud01 It’s very sad.,2,0,it s very sad,1.0,-0.65,Negative
1108,2022-07-09 09:26:19+00:00,Aylaazari,@myndmybiznezz Nope.,0,0,nope,0.0,0.0,Neutral
1109,2022-07-09 09:25:37+00:00,Aylaazari,@ImaniDH_ She said Yoruba. Oya kill yourself. Becos you saw someone talking to her in a language she didn’t understand and you are asking a dense question for her insulting the language.,2,0,she said yoruba oya kill yourself becos you saw someone talking her language she didn t understand you are asking dense question her insulting language,1.0,-1.0,Negative
1110,2022-07-09 09:23:22+00:00,Aylaazari,@mykael_yuddy Asin ehn,0,0,asin ehn,0.0,0.0,Neutral
1111,2022-07-09 09:23:04+00:00,Aylaazari,"@tflourish @AbdulMahmud01 Very different, both are inhumane but one is downright atrocious and unbelievable",4,1,very different both are inhumane but one is downright atrocious unbelievable,0.92,-0.4625,Negative
1112,2022-07-09 09:19:02+00:00,Aylaazari,@OneJoblessBoy @ruffydfire pls we would like to know where Dr Yusuf stands now with regards to his inhumane punishment for homosexuals in Nigeria. Change is constant but where does he lie now? @ruffydfire,0,0,pls we would like know where dr yusuf stands now with regards his inhumane punishment homosexuals nigeria change is constant but where does he lie now,0.6166666666666667,-0.45,Negative
1113,2022-07-09 08:22:41+00:00,Aylaazari,@WaKimbunga @dn_atheist @channelstv @ARISEtv He needs to be questioned on his stance. Because Omo who just says ppl should be killed so flippantly,1,0,he needs be questioned his stance because omo who just says ppl should be killed so flippantly,0.45,0.1,Positive
1114,2022-07-08 23:47:11+00:00,Aylaazari,Sang this song as a child when my Daddy would tell us “ the land  of Idoo” stories. So sweet to hear https://t.co/78Wb2qeuGP,1,0,sang this song as child when my daddy would tell us land idoo stories so sweet hear,0.65,0.35,Positive
